// Attack Damage Table
// Numbers are capped at 100.
{
// 1-5  1-4  1-3  1-2  1-1  2-1  3-1  4-1  5-1  6-1  7-1  8-1
//-------------------------------------------------------------
"    0    1    1    1    2    4    6    8   10   12   14   16"
"    0    1    1    1    3    6    9   12   15   18   21   24"
"    0    1    1    2    4    8   12   16   20   24   28   32"
"    0    1    1    2    5   10   15   20   25   30   35   40"
"    0    1    1    3    6   12   18   24   30   36   42   48"
"    0    1    2    3    7   14   21   28   35   42   49   56"
"    0    1    2    4    8   16   24   32   40   48   56   64"
"    0    1    2    4    9   18   27   36   45   54   63   72"
"    0    1    2    5   10   20   30   40   50   60   70   80"
"    0    1    2    5   11   22   33   44   55   66   77   88"
}
// V2022-12-04 (Nikolai):Updated to use Overhaul damage model
// Before, the damage model favored high accuracy attacks with the strength not being too important. 
// There was no space to allow high-armor units to showcase it's survivability against low-strength enemies.
// Now, we have a high range of different damage ratios to pick from to allow a broad range of results.
// 1-2, 1-1 and 2-1 give the most return per ratio level. Combat system is assuming that higher strength units will inevitably 
// lose combat strength due to taking damage, therefore the lower increases at 3-1 and above only give marginal extra damage.
